Game,Winner,Moves,FinalScore
194,B,88,"FinalCount => B:13, W:12"
195,W,81,"FinalCount => B:11, W:14"
196,W,63,"FinalCount => B:10, W:15"
197,W,70,"FinalCount => B:9, W:16"
198,W,59,"FinalCount => B:12, W:13"
199,W,76,"FinalCount => B:9, W:16"
200,W,88,"FinalCount => B:10, W:15"
201,B,75,"FinalCount => B:13, W:12"
202,B,122,"FinalCount => B:15, W:10"
203,W,90,"FinalCount => B:7, W:18"
204,W,76,"FinalCount => B:9, W:16"
205,W,70,"FinalCount => B:8, W:17"
206,W,70,"FinalCount => B:8, W:17"
207,W,62,"FinalCount => B:9, W:16"
208,W,67,"FinalCount => B:10, W:15"
209,W,79,"FinalCount => B:10, W:15"
210,W,72,"FinalCount => B:12, W:13"
211,B,85,"FinalCount => B:13, W:12"
212,W,46,"FinalCount => B:12, W:13"
213,W,63,"FinalCount => B:11, W:14"
214,B,64,"FinalCount => B:13, W:12"
215,W,91,"FinalCount => B:12, W:13"
216,W,68,"FinalCount => B:11, W:14"
217,W,96,"FinalCount => B:8, W:17"
218,B,88,"FinalCount => B:13, W:12"
219,W,95,"FinalCount => B:12, W:13"
220,W,78,"FinalCount => B:10, W:15"
221,W,75,"FinalCount => B:11, W:14"
222,B,110,"FinalCount => B:14, W:11"
223,B,51,"FinalCount => B:14, W:11"
224,W,68,"FinalCount => B:11, W:14"
225,W,100,"FinalCount => B:11, W:14"
226,W,85,"FinalCount => B:9, W:16"
227,B,76,"FinalCount => B:13, W:12"
228,W,83,"FinalCount => B:12, W:13"
229,W,128,"FinalCount => B:11, W:14"
230,B,88,"FinalCount => B:13, W:12"
231,W,83,"FinalCount => B:11, W:14"
232,B,49,"FinalCount => B:14, W:11"
233,W,74,"FinalCount => B:10, W:15"
234,W,70,"FinalCount => B:9, W:16"
235,W,71,"FinalCount => B:11, W:14"
236,W,66,"FinalCount => B:9, W:16"
237,W,78,"FinalCount => B:9, W:16"
238,W,87,"FinalCount => B:12, W:13"
239,B,49,"FinalCount => B:14, W:11"
240,W,88,"FinalCount => B:10, W:15"
241,B,79,"FinalCount => B:13, W:12"
242,W,63,"FinalCount => B:11, W:14"
243,W,76,"FinalCount => B:8, W:17"
244,W,91,"FinalCount => B:10, W:15"
245,W,83,"FinalCount => B:11, W:14"
246,W,72,"FinalCount => B:12, W:13"
247,B,65,"FinalCount => B:13, W:12"
248,W,46,"FinalCount => B:11, W:14"
249,W,76,"FinalCount => B:8, W:17"
250,W,83,"FinalCount => B:12, W:13"
251,W,96,"FinalCount => B:10, W:15"
252,B,49,"FinalCount => B:14, W:11"
253,W,62,"FinalCount => B:10, W:15"
254,B,131,"FinalCount => B:13, W:12"
255,W,41,"FinalCount => B:12, W:13"
256,W,110,"FinalCount => B:10, W:15"
257,W,41,"FinalCount => B:12, W:13"
258,W,78,"FinalCount => B:9, W:16"
259,W,78,"FinalCount => B:8, W:17"
260,W,91,"FinalCount => B:10, W:15"
261,W,49,"FinalCount => B:12, W:13"
262,B,122,"FinalCount => B:15, W:10"
263,W,71,"FinalCount => B:10, W:15"
264,B,65,"FinalCount => B:13, W:12"
265,W,78,"FinalCount => B:9, W:16"
266,B,120,"FinalCount => B:14, W:11"
267,W,89,"FinalCount => B:11, W:14"
268,W,79,"FinalCount => B:10, W:15"
269,W,113,"FinalCount => B:11, W:14"
270,W,78,"FinalCount => B:10, W:15"
271,B,114,"FinalCount => B:14, W:11"
272,B,93,"FinalCount => B:13, W:12"
273,W,79,"FinalCount => B:10, W:15"
274,W,64,"FinalCount => B:10, W:15"
275,W,75,"FinalCount => B:9, W:16"
276,W,109,"FinalCount => B:11, W:14"
277,W,94,"FinalCount => B:9, W:16"
278,W,46,"FinalCount => B:11, W:14"
279,W,52,"FinalCount => B:11, W:14"
280,W,75,"FinalCount => B:9, W:16"
281,B,103,"FinalCount => B:13, W:12"
282,W,80,"FinalCount => B:9, W:16"
283,W,61,"FinalCount => B:12, W:13"
284,W,79,"FinalCount => B:10, W:15"
285,B,85,"FinalCount => B:14, W:11"
286,W,109,"FinalCount => B:11, W:14"
287,B,64,"FinalCount => B:13, W:12"
288,W,78,"FinalCount => B:10, W:15"
289,B,67,"FinalCount => B:13, W:12"
290,B,88,"FinalCount => B:13, W:12"
291,W,100,"FinalCount => B:11, W:14"
292,B,80,"FinalCount => B:15, W:10"
293,B,112,"FinalCount => B:14, W:11"
294,W,66,"FinalCount => B:10, W:15"
295,W,91,"FinalCount => B:12, W:13"
296,W,87,"FinalCount => B:12, W:13"
297,W,79,"FinalCount => B:10, W:15"
298,W,61,"FinalCount => B:12, W:13"
299,B,101,"FinalCount => B:13, W:12"
300,W,98,"FinalCount => B:11, W:14"
301,W,67,"FinalCount => B:8, W:17"
302,W,64,"FinalCount => B:9, W:16"
303,W,80,"FinalCount => B:9, W:16"
304,B,74,"FinalCount => B:13, W:12"
305,W,86,"FinalCount => B:9, W:16"
306,B,79,"FinalCount => B:13, W:12"
307,W,46,"FinalCount => B:11, W:14"
308,W,79,"FinalCount => B:11, W:14"
309,W,79,"FinalCount => B:11, W:14"
310,B,84,"FinalCount => B:13, W:12"
311,W,97,"FinalCount => B:9, W:16"
312,W,91,"FinalCount => B:10, W:15"
313,W,72,"FinalCount => B:9, W:16"
314,W,83,"FinalCount => B:9, W:16"
315,W,62,"FinalCount => B:9, W:16"
316,B,57,"FinalCount => B:15, W:10"
317,W,96,"FinalCount => B:10, W:15"
318,W,76,"FinalCount => B:9, W:16"
319,B,105,"FinalCount => B:15, W:10"
320,W,93,"FinalCount => B:12, W:13"
321,W,79,"FinalCount => B:10, W:15"
322,W,82,"FinalCount => B:8, W:17"
323,B,107,"FinalCount => B:14, W:11"
324,W,66,"FinalCount => B:8, W:17"
325,B,104,"FinalCount => B:13, W:12"
326,W,89,"FinalCount => B:11, W:14"
327,B,85,"FinalCount => B:13, W:12"
328,W,80,"FinalCount => B:10, W:15"
329,B,80,"FinalCount => B:15, W:10"
330,W,80,"FinalCount => B:8, W:17"
331,W,69,"FinalCount => B:9, W:16"
332,B,80,"FinalCount => B:15, W:10"
333,W,83,"FinalCount => B:11, W:14"
334,W,70,"FinalCount => B:9, W:16"
335,W,66,"FinalCount => B:10, W:15"
336,W,78,"FinalCount => B:10, W:15"
337,W,70,"FinalCount => B:7, W:18"
338,B,67,"FinalCount => B:13, W:12"
339,W,75,"FinalCount => B:11, W:14"
340,W,55,"FinalCount => B:9, W:16"
341,W,72,"FinalCount => B:9, W:16"
342,B,84,"FinalCount => B:13, W:12"
343,W,60,"FinalCount => B:11, W:14"
344,W,90,"FinalCount => B:12, W:13"
345,W,87,"FinalCount => B:10, W:15"
346,W,74,"FinalCount => B:12, W:13"
347,W,87,"FinalCount => B:12, W:13"
348,W,79,"FinalCount => B:10, W:15"
349,W,96,"FinalCount => B:10, W:15"
350,W,79,"FinalCount => B:10, W:15"
351,W,78,"FinalCount => B:10, W:15"
352,W,88,"FinalCount => B:10, W:15"
