Game,Winner,Moves,FinalScore
1330,B,61,"FinalCount => B:15, W:10"
1331,B,59,"FinalCount => B:13, W:12"
1332,B,59,"FinalCount => B:13, W:12"
1333,B,59,"FinalCount => B:13, W:12"
1334,B,68,"FinalCount => B:13, W:12"
1335,B,55,"FinalCount => B:14, W:11"
1336,B,59,"FinalCount => B:13, W:12"
1337,W,66,"FinalCount => B:12, W:13"
1338,B,59,"FinalCount => B:13, W:12"
1339,B,56,"FinalCount => B:13, W:12"
1340,W,63,"FinalCount => B:12, W:13"
1341,B,61,"FinalCount => B:14, W:11"
1342,W,63,"FinalCount => B:12, W:13"
1343,B,59,"FinalCount => B:13, W:12"
1344,B,59,"FinalCount => B:15, W:10"
1345,W,66,"FinalCount => B:12, W:13"
1346,W,62,"FinalCount => B:11, W:14"
1347,W,63,"FinalCount => B:12, W:13"
1348,B,59,"FinalCount => B:13, W:12"
1349,W,66,"FinalCount => B:12, W:13"
1350,B,59,"FinalCount => B:13, W:12"
1351,B,59,"FinalCount => B:15, W:10"
1352,B,59,"FinalCount => B:15, W:10"
1353,W,66,"FinalCount => B:12, W:13"
1354,W,66,"FinalCount => B:12, W:13"
1355,W,66,"FinalCount => B:12, W:13"
1356,W,63,"FinalCount => B:12, W:13"
1357,B,55,"FinalCount => B:14, W:11"
1358,B,59,"FinalCount => B:13, W:12"
1359,B,68,"FinalCount => B:13, W:12"
1360,B,59,"FinalCount => B:13, W:12"
1361,B,59,"FinalCount => B:13, W:12"
1362,W,66,"FinalCount => B:12, W:13"
1363,B,59,"FinalCount => B:13, W:12"
1364,W,63,"FinalCount => B:12, W:13"
1365,W,66,"FinalCount => B:12, W:13"
1366,W,62,"FinalCount => B:10, W:15"
1367,W,63,"FinalCount => B:12, W:13"
1368,B,59,"FinalCount => B:13, W:12"
1369,B,59,"FinalCount => B:13, W:12"
1370,B,55,"FinalCount => B:14, W:11"
1371,W,62,"FinalCount => B:10, W:15"
1372,W,63,"FinalCount => B:12, W:13"
1373,B,56,"FinalCount => B:13, W:12"
1374,W,62,"FinalCount => B:10, W:15"
1375,W,62,"FinalCount => B:11, W:14"
1376,W,62,"FinalCount => B:10, W:15"
1377,B,59,"FinalCount => B:13, W:12"
1378,B,59,"FinalCount => B:13, W:12"
1379,B,59,"FinalCount => B:15, W:10"
1380,B,59,"FinalCount => B:13, W:12"
1381,W,66,"FinalCount => B:12, W:13"
1382,B,61,"FinalCount => B:14, W:11"
1383,W,66,"FinalCount => B:12, W:13"
1384,B,59,"FinalCount => B:13, W:12"
1385,B,56,"FinalCount => B:13, W:12"
1386,B,68,"FinalCount => B:13, W:12"
1387,W,66,"FinalCount => B:12, W:13"
1388,B,68,"FinalCount => B:13, W:12"
1389,W,63,"FinalCount => B:12, W:13"
1390,B,59,"FinalCount => B:13, W:12"
1391,B,59,"FinalCount => B:13, W:12"
1392,B,59,"FinalCount => B:13, W:12"
1393,B,61,"FinalCount => B:14, W:11"
1394,B,59,"FinalCount => B:13, W:12"
1395,W,63,"FinalCount => B:12, W:13"
1396,W,63,"FinalCount => B:12, W:13"
1397,B,61,"FinalCount => B:14, W:11"
1398,B,56,"FinalCount => B:13, W:12"
1399,B,59,"FinalCount => B:15, W:10"
1400,B,55,"FinalCount => B:14, W:11"
1401,B,56,"FinalCount => B:13, W:12"
1402,B,61,"FinalCount => B:14, W:11"
1403,B,55,"FinalCount => B:14, W:11"
1404,B,59,"FinalCount => B:13, W:12"
1405,B,59,"FinalCount => B:13, W:12"
1406,W,66,"FinalCount => B:12, W:13"
1407,B,56,"FinalCount => B:13, W:12"
1408,B,59,"FinalCount => B:15, W:10"
1409,B,59,"FinalCount => B:13, W:12"
1410,B,59,"FinalCount => B:13, W:12"
1411,W,63,"FinalCount => B:12, W:13"
1412,W,62,"FinalCount => B:11, W:14"
1413,B,59,"FinalCount => B:13, W:12"
1414,W,62,"FinalCount => B:10, W:15"
1415,W,63,"FinalCount => B:12, W:13"
1416,B,59,"FinalCount => B:13, W:12"
1417,B,59,"FinalCount => B:13, W:12"
1418,B,59,"FinalCount => B:13, W:12"
1419,B,55,"FinalCount => B:14, W:11"
1420,W,62,"FinalCount => B:10, W:15"
1421,B,52,"FinalCount => B:13, W:12"
1422,W,62,"FinalCount => B:10, W:15"
1423,B,59,"FinalCount => B:15, W:10"
1424,B,59,"FinalCount => B:13, W:12"
1425,B,59,"FinalCount => B:13, W:12"
1426,W,63,"FinalCount => B:12, W:13"
1427,W,63,"FinalCount => B:12, W:13"
1428,B,59,"FinalCount => B:13, W:12"
1429,B,59,"FinalCount => B:13, W:12"
1430,B,59,"FinalCount => B:13, W:12"
1431,B,59,"FinalCount => B:13, W:12"
1432,W,62,"FinalCount => B:11, W:14"
1433,B,59,"FinalCount => B:13, W:12"
1434,W,66,"FinalCount => B:12, W:13"
1435,B,61,"FinalCount => B:15, W:10"
1436,B,68,"FinalCount => B:13, W:12"
1437,W,62,"FinalCount => B:11, W:14"
1438,B,55,"FinalCount => B:14, W:11"
1439,B,52,"FinalCount => B:13, W:12"
1440,B,61,"FinalCount => B:14, W:11"
1441,W,66,"FinalCount => B:12, W:13"
1442,W,63,"FinalCount => B:12, W:13"
1443,B,56,"FinalCount => B:13, W:12"
1444,B,59,"FinalCount => B:13, W:12"
1445,B,68,"FinalCount => B:13, W:12"
1446,B,59,"FinalCount => B:13, W:12"
1447,B,59,"FinalCount => B:13, W:12"
1448,B,61,"FinalCount => B:15, W:10"
1449,W,66,"FinalCount => B:12, W:13"
1450,B,59,"FinalCount => B:15, W:10"
1451,B,68,"FinalCount => B:13, W:12"
1452,B,61,"FinalCount => B:15, W:10"
1453,W,63,"FinalCount => B:12, W:13"
1454,B,52,"FinalCount => B:13, W:12"
1455,W,63,"FinalCount => B:12, W:13"
1456,B,55,"FinalCount => B:14, W:11"
1457,B,59,"FinalCount => B:15, W:10"
1458,B,56,"FinalCount => B:13, W:12"
1459,B,55,"FinalCount => B:14, W:11"
1460,B,56,"FinalCount => B:13, W:12"
1461,W,66,"FinalCount => B:12, W:13"
1462,B,55,"FinalCount => B:14, W:11"
1463,B,59,"FinalCount => B:13, W:12"
1464,W,63,"FinalCount => B:12, W:13"
1465,W,66,"FinalCount => B:12, W:13"
1466,B,59,"FinalCount => B:15, W:10"
1467,B,59,"FinalCount => B:13, W:12"
1468,W,63,"FinalCount => B:12, W:13"
1469,B,59,"FinalCount => B:13, W:12"
1470,B,59,"FinalCount => B:13, W:12"
1471,W,66,"FinalCount => B:12, W:13"
1472,B,55,"FinalCount => B:14, W:11"
1473,W,62,"FinalCount => B:11, W:14"
1474,B,59,"FinalCount => B:13, W:12"
1475,B,59,"FinalCount => B:13, W:12"
1476,B,56,"FinalCount => B:13, W:12"
1477,W,63,"FinalCount => B:12, W:13"
1478,W,66,"FinalCount => B:12, W:13"
1479,B,61,"FinalCount => B:14, W:11"
1480,W,63,"FinalCount => B:12, W:13"
1481,B,61,"FinalCount => B:14, W:11"
1482,W,63,"FinalCount => B:12, W:13"
1483,W,66,"FinalCount => B:12, W:13"
1484,W,63,"FinalCount => B:12, W:13"
1485,W,66,"FinalCount => B:12, W:13"
1486,W,62,"FinalCount => B:10, W:15"
1487,W,63,"FinalCount => B:12, W:13"
1488,W,63,"FinalCount => B:12, W:13"
1489,B,59,"FinalCount => B:13, W:12"
1490,B,59,"FinalCount => B:13, W:12"
1491,W,66,"FinalCount => B:12, W:13"
1492,W,66,"FinalCount => B:12, W:13"
1493,W,62,"FinalCount => B:11, W:14"
1494,B,59,"FinalCount => B:13, W:12"
1495,W,62,"FinalCount => B:10, W:15"
1496,B,59,"FinalCount => B:13, W:12"
1497,B,59,"FinalCount => B:13, W:12"
1498,W,66,"FinalCount => B:12, W:13"
1499,W,66,"FinalCount => B:12, W:13"
1500,B,61,"FinalCount => B:14, W:11"
1501,B,59,"FinalCount => B:13, W:12"
1502,W,66,"FinalCount => B:12, W:13"
1503,B,56,"FinalCount => B:13, W:12"
1504,W,62,"FinalCount => B:11, W:14"
1505,B,68,"FinalCount => B:13, W:12"
1506,W,63,"FinalCount => B:12, W:13"
1507,W,66,"FinalCount => B:12, W:13"
1508,B,61,"FinalCount => B:15, W:10"
1509,B,61,"FinalCount => B:14, W:11"
1510,W,63,"FinalCount => B:12, W:13"
1511,W,62,"FinalCount => B:11, W:14"
1512,W,66,"FinalCount => B:12, W:13"
1513,W,66,"FinalCount => B:12, W:13"
1514,B,59,"FinalCount => B:13, W:12"
1515,B,61,"FinalCount => B:14, W:11"
1516,B,68,"FinalCount => B:13, W:12"
1517,B,59,"FinalCount => B:13, W:12"
1518,W,63,"FinalCount => B:12, W:13"
1519,B,55,"FinalCount => B:14, W:11"
1520,B,59,"FinalCount => B:13, W:12"
1521,W,66,"FinalCount => B:12, W:13"
1522,B,59,"FinalCount => B:13, W:12"
1523,W,62,"FinalCount => B:10, W:15"
1524,W,66,"FinalCount => B:12, W:13"
1525,W,66,"FinalCount => B:12, W:13"
1526,B,61,"FinalCount => B:14, W:11"
1527,B,56,"FinalCount => B:13, W:12"
1528,B,61,"FinalCount => B:14, W:11"
1529,W,66,"FinalCount => B:12, W:13"
1530,W,66,"FinalCount => B:12, W:13"
1531,W,63,"FinalCount => B:12, W:13"
1532,W,62,"FinalCount => B:11, W:14"
1533,W,62,"FinalCount => B:10, W:15"
1534,B,61,"FinalCount => B:14, W:11"
1535,B,59,"FinalCount => B:13, W:12"
1536,W,62,"FinalCount => B:11, W:14"
1537,W,66,"FinalCount => B:12, W:13"
1538,W,63,"FinalCount => B:12, W:13"
1539,W,63,"FinalCount => B:12, W:13"
1540,B,56,"FinalCount => B:13, W:12"
1541,W,63,"FinalCount => B:12, W:13"
1542,B,61,"FinalCount => B:15, W:10"
1543,W,62,"FinalCount => B:10, W:15"
1544,B,59,"FinalCount => B:15, W:10"
1545,B,59,"FinalCount => B:13, W:12"
1546,B,61,"FinalCount => B:15, W:10"
1547,B,68,"FinalCount => B:13, W:12"
1548,W,62,"FinalCount => B:11, W:14"
1549,B,59,"FinalCount => B:13, W:12"
1550,B,55,"FinalCount => B:14, W:11"
1551,W,66,"FinalCount => B:12, W:13"
1552,B,61,"FinalCount => B:14, W:11"
1553,W,66,"FinalCount => B:12, W:13"
1554,W,66,"FinalCount => B:12, W:13"
1555,W,63,"FinalCount => B:12, W:13"
1556,W,63,"FinalCount => B:12, W:13"
1557,W,63,"FinalCount => B:12, W:13"
1558,B,52,"FinalCount => B:13, W:12"
1559,W,66,"FinalCount => B:12, W:13"
1560,W,66,"FinalCount => B:12, W:13"
1561,W,66,"FinalCount => B:12, W:13"
1562,W,66,"FinalCount => B:12, W:13"
1563,B,59,"FinalCount => B:13, W:12"
1564,B,59,"FinalCount => B:13, W:12"
1565,W,62,"FinalCount => B:10, W:15"
