Game,Winner,Moves,FinalScore
485,B,65,"FinalCount => B:15, W:10"
486,W,60,"FinalCount => B:12, W:13"
487,B,66,"FinalCount => B:15, W:10"
488,B,56,"FinalCount => B:14, W:11"
489,W,60,"FinalCount => B:12, W:13"
490,W,60,"FinalCount => B:12, W:13"
491,B,66,"FinalCount => B:15, W:10"
492,B,52,"FinalCount => B:13, W:12"
493,B,68,"FinalCount => B:13, W:12"
494,B,51,"FinalCount => B:13, W:12"
495,B,65,"FinalCount => B:15, W:10"
496,B,65,"FinalCount => B:15, W:10"
497,B,49,"FinalCount => B:14, W:11"
498,B,64,"FinalCount => B:13, W:12"
499,B,66,"FinalCount => B:15, W:10"
500,B,56,"FinalCount => B:14, W:11"
