Game,Winner,Moves,FinalScore
294,B,55,"FinalCount => B:14, W:11"
295,W,66,"FinalCount => B:12, W:13"
296,B,68,"FinalCount => B:13, W:12"
297,W,87,"FinalCount => B:12, W:13"
298,W,62,"FinalCount => B:12, W:13"
299,W,62,"FinalCount => B:12, W:13"
300,B,63,"FinalCount => B:14, W:11"
301,W,62,"FinalCount => B:11, W:14"
302,W,62,"FinalCount => B:11, W:14"
303,W,62,"FinalCount => B:11, W:14"
304,W,66,"FinalCount => B:12, W:13"
305,W,87,"FinalCount => B:12, W:13"
306,W,62,"FinalCount => B:11, W:14"
307,W,87,"FinalCount => B:12, W:13"
308,W,62,"FinalCount => B:11, W:14"
309,W,62,"FinalCount => B:11, W:14"
310,W,66,"FinalCount => B:12, W:13"
311,B,55,"FinalCount => B:14, W:11"
312,B,61,"FinalCount => B:15, W:10"
313,W,62,"FinalCount => B:10, W:15"
314,W,62,"FinalCount => B:11, W:14"
315,B,61,"FinalCount => B:14, W:11"
316,W,62,"FinalCount => B:12, W:13"
317,W,66,"FinalCount => B:12, W:13"
318,W,87,"FinalCount => B:12, W:13"
319,B,63,"FinalCount => B:14, W:11"
320,W,62,"FinalCount => B:11, W:14"
321,W,62,"FinalCount => B:11, W:14"
322,W,66,"FinalCount => B:12, W:13"
323,W,62,"FinalCount => B:11, W:14"
324,B,63,"FinalCount => B:14, W:11"
325,W,66,"FinalCount => B:12, W:13"
326,W,62,"FinalCount => B:11, W:14"
327,B,61,"FinalCount => B:14, W:11"
328,B,63,"FinalCount => B:14, W:11"
329,W,62,"FinalCount => B:11, W:14"
330,B,71,"FinalCount => B:13, W:12"
331,W,66,"FinalCount => B:12, W:13"
332,W,87,"FinalCount => B:12, W:13"
333,W,66,"FinalCount => B:12, W:13"
334,W,66,"FinalCount => B:12, W:13"
335,W,62,"FinalCount => B:11, W:14"
336,W,66,"FinalCount => B:12, W:13"
337,B,68,"FinalCount => B:13, W:12"
338,B,63,"FinalCount => B:13, W:12"
339,B,71,"FinalCount => B:13, W:12"
340,W,62,"FinalCount => B:10, W:15"
341,W,63,"FinalCount => B:12, W:13"
342,B,61,"FinalCount => B:14, W:11"
343,W,62,"FinalCount => B:11, W:14"
344,B,61,"FinalCount => B:14, W:11"
345,W,66,"FinalCount => B:12, W:13"
346,W,87,"FinalCount => B:12, W:13"
347,W,62,"FinalCount => B:11, W:14"
348,B,62,"FinalCount => B:13, W:12"
349,B,63,"FinalCount => B:14, W:11"
350,W,66,"FinalCount => B:12, W:13"
351,W,62,"FinalCount => B:11, W:14"
352,B,61,"FinalCount => B:14, W:11"
353,B,61,"FinalCount => B:14, W:11"
354,W,62,"FinalCount => B:11, W:14"
355,W,62,"FinalCount => B:11, W:14"
356,B,62,"FinalCount => B:13, W:12"
357,B,61,"FinalCount => B:14, W:11"
358,W,66,"FinalCount => B:12, W:13"
359,B,61,"FinalCount => B:15, W:10"
360,B,71,"FinalCount => B:13, W:12"
361,W,87,"FinalCount => B:12, W:13"
362,B,71,"FinalCount => B:13, W:12"
363,W,62,"FinalCount => B:12, W:13"
364,B,62,"FinalCount => B:13, W:12"
365,B,68,"FinalCount => B:13, W:12"
366,W,62,"FinalCount => B:11, W:14"
367,B,61,"FinalCount => B:15, W:10"
368,W,63,"FinalCount => B:12, W:13"
369,B,61,"FinalCount => B:15, W:10"
370,B,55,"FinalCount => B:14, W:11"
371,W,62,"FinalCount => B:11, W:14"
372,W,62,"FinalCount => B:11, W:14"
373,B,55,"FinalCount => B:14, W:11"
374,W,62,"FinalCount => B:11, W:14"
375,B,68,"FinalCount => B:13, W:12"
376,B,61,"FinalCount => B:14, W:11"
377,W,62,"FinalCount => B:11, W:14"
378,W,66,"FinalCount => B:12, W:13"
379,W,62,"FinalCount => B:10, W:15"
380,W,62,"FinalCount => B:11, W:14"
381,B,61,"FinalCount => B:14, W:11"
382,W,66,"FinalCount => B:12, W:13"
383,W,66,"FinalCount => B:12, W:13"
384,W,62,"FinalCount => B:11, W:14"
385,W,87,"FinalCount => B:12, W:13"
386,B,61,"FinalCount => B:14, W:11"
387,B,71,"FinalCount => B:13, W:12"
388,W,66,"FinalCount => B:12, W:13"
389,W,66,"FinalCount => B:12, W:13"
390,W,66,"FinalCount => B:12, W:13"
391,B,62,"FinalCount => B:13, W:12"
392,W,62,"FinalCount => B:11, W:14"
393,W,62,"FinalCount => B:11, W:14"
394,B,62,"FinalCount => B:13, W:12"
395,W,62,"FinalCount => B:11, W:14"
396,W,62,"FinalCount => B:11, W:14"
397,W,62,"FinalCount => B:11, W:14"
398,W,62,"FinalCount => B:11, W:14"
399,W,62,"FinalCount => B:10, W:15"
400,W,62,"FinalCount => B:11, W:14"
401,W,66,"FinalCount => B:12, W:13"
402,W,62,"FinalCount => B:11, W:14"
403,B,61,"FinalCount => B:14, W:11"
404,B,68,"FinalCount => B:13, W:12"
405,B,63,"FinalCount => B:14, W:11"
406,B,63,"FinalCount => B:13, W:12"
407,W,62,"FinalCount => B:11, W:14"
